2023-07-31 12:30:15,023 INFO    StreamThr :2202583 [internal.py:wandb_internal():86] W&B internal server running at pid: 2202583, started at: 2023-07-31 12:30:15.022901
2023-07-31 12:30:15,024 DEBUG   HandlerThread:2202583 [handler.py:handle_request():144] handle_request: status
2023-07-31 12:30:15,026 INFO    WriterThread:2202583 [datastore.py:open_for_write():85] open: /home/mr6744/ddpm_deblurring/multi_image/wandb/run-20230731_123015-dpfvc36f/run-dpfvc36f.wandb
2023-07-31 12:30:15,026 DEBUG   SenderThread:2202583 [sender.py:send():375] send: header
2023-07-31 12:30:15,058 DEBUG   SenderThread:2202583 [sender.py:send():375] send: run
2023-07-31 12:30:15,304 INFO    SenderThread:2202583 [dir_watcher.py:__init__():219] watching files in: /home/mr6744/ddpm_deblurring/multi_image/wandb/run-20230731_123015-dpfvc36f/files
2023-07-31 12:30:15,304 INFO    SenderThread:2202583 [sender.py:_start_run_threads():1124] run started: dpfvc36f with start time 1690821015.022269
2023-07-31 12:30:15,304 DEBUG   SenderThread:2202583 [sender.py:send_request():402] send_request: summary_record
2023-07-31 12:30:15,304 INFO    SenderThread:2202583 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-07-31 12:30:15,310 DEBUG   HandlerThread:2202583 [handler.py:handle_request():144] handle_request: check_version
2023-07-31 12:30:15,311 DEBUG   SenderThread:2202583 [sender.py:send_request():402] send_request: check_version
2023-07-31 12:30:15,398 DEBUG   HandlerThread:2202583 [handler.py:handle_request():144] handle_request: run_start
2023-07-31 12:30:15,405 DEBUG   HandlerThread:2202583 [system_info.py:__init__():31] System info init
2023-07-31 12:30:15,405 DEBUG   HandlerThread:2202583 [system_info.py:__init__():46] System info init done
2023-07-31 12:30:15,405 INFO    HandlerThread:2202583 [system_monitor.py:start():181] Starting system monitor
2023-07-31 12:30:15,405 INFO    SystemMonitor:2202583 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-07-31 12:30:15,406 INFO    HandlerThread:2202583 [system_monitor.py:probe():201] Collecting system info
2023-07-31 12:30:15,406 INFO    SystemMonitor:2202583 [interfaces.py:start():190] Started cpu monitoring
2023-07-31 12:30:15,407 INFO    SystemMonitor:2202583 [interfaces.py:start():190] Started disk monitoring
2023-07-31 12:30:15,407 INFO    SystemMonitor:2202583 [interfaces.py:start():190] Started gpu monitoring
2023-07-31 12:30:15,408 INFO    SystemMonitor:2202583 [interfaces.py:start():190] Started memory monitoring
2023-07-31 12:30:15,408 INFO    SystemMonitor:2202583 [interfaces.py:start():190] Started network monitoring
2023-07-31 12:30:15,460 DEBUG   HandlerThread:2202583 [system_info.py:probe():195] Probing system
2023-07-31 12:30:15,464 DEBUG   HandlerThread:2202583 [system_info.py:_probe_git():180] Probing git
2023-07-31 12:30:15,470 DEBUG   HandlerThread:2202583 [system_info.py:_probe_git():188] Probing git done
2023-07-31 12:30:15,471 DEBUG   HandlerThread:2202583 [system_info.py:probe():240] Probing system done
